content,label,start
túi ưng ý lắm,POS,4
Mùi thơm dễ chịu,POS,4
"Chất lượng sản phẩm rất kém, hàng bị lỗi, tưa 1 đuờng chỉ từ trên xuống dưới",NEG,1
Sp quá tệ,NEG,1
"Giá tiền đi đôi với chất lượng :))) nói chung k nên mua =)))mặc tí đã rách tứ tung,mà bạn nào dưới 48kg mới vừa nhé k có mà trật ních.Mua về nhớ mang đi may lại toàn bộ :)))",POS,4
Shop giải thích cho mình đc ko,NEU,3
Hàng không đúng mẫu Shop phục vụ tạm được,NEU,3
Mặc tiện cho con bú,POS,4
Thời gian giao hàng tạm được,NEU,3
Lại đặt tiếp thêm cái nữa em nhé,POS,4
Trên cả tuyệt vời,POS,5
Shop giao hàng cực nhanh,POS,4
M mua 5 kiểu áo khác nhau nhưng áo nào vải cũng rất đẹp,POS,5
Giá cả chấp nhận được,NEG,2
Chất lượng sản phẩm tạm được Giá cả chấp nhận được Thời gian giao hàng rất nhanh,POS,4
Hàng cực đẹp .đẹp hơn trên ảnh nhiều 💋💋 chủ shop tận tâm nhất mà mình từng gặp,POS,5
Chất lượng sản phẩm tuyệt vời,POS,5
Vải đẹp chắc chắn hợp giá tiền,POS,5
M55 65kg mặc ôm . ko đc thoải mái . hơi buồn,NEG,2
Sản phẩm tạm được,NEU,3
"Bảo cường lực mà ship cho nilon dán màn, đã thế lại còn k dán được vào đt",NEG,1
Hang ko giong hinh,NEG,1
"Chất vải mặc vào gây ngứa, dặm",NEG,1
Vải mỏng à nhỏ nữa,NEG,1
"Xe đẹp và chắc chăn, bé rất thích",POS,5
hàng giống hình,NEG,1
"tư vấn dễ thương nhiệt tình,hàng đúng hình 100%,đẹp sẽ ủng hộ shop",POS,5
Áo mỏng và còn sổ chỉ,NEG,2
Cam on,NEG,1
Shop làm việc rất chuyên nghiệp,POS,5
Chất lượng sản phẩm tốt Đóng gói sản phẩm chắc chắn,POS,5
Ko mua hơi phí,POS,4
"Vải mỏng nè, k bo gấu tay áo gấu quần nè, hình in chưa nét lắm nè, so với tần giá thì ổn",NEU,3
"Quần chất hơi mỏng, nhưng phù hợp giá tiền, thấm hút tốt ko bị bí da",POS,4
Chất lượng sản phẩm rất kém..,NEG,1
"Điều kiện áp dụng ko giống mô tả,mình sử dụng vào ngày thứ 3 thì cửa hàng xác nhận là ko áp dụng cùng với các khuyến mãi khác.mong shop kiểm tra",NEG,2
Đặt hàng 2 ngày ko thấy giao,NEU,3
😍😍😍 mua về cái bịt mắt đi ngủ luôn. 1 giấc ngon lành,POS,5
Màu áo k như hình,NEU,3
Chất vải rất đẹp,POS,5
Đã note rất rõ ràng là đen đỏ hoặc rằn ri mà vẫn không giao đúng hàng,NEG,1
Vải tạm được,NEG,2
Cổ quá rộng,NEG,2
Nhưng hơi thất vọng,NEG,2
"Bán hàng k có trách nhiệm, đặt 1 trắng 1 đen mà giao cho khách 2 đen, mình sợ giao nhầm đã nt riêng r v mà vẫn cố tình giao màu sai, đã v khi nhận đc hàng thì 1 cái bị bay màu hàng lỗi, đt khiếu nại thì chửi khách thậm tệ, có dấu hiệu LỪA ĐẢO nên cẩn thận Shop phục vụ rất kém",NEG,1
K pải 2 lớp,NEU,3
Chất lượng sản phẩm ok.hợp với giá tiền,NEU,3
Chất vải xấu,NEG,2
"Vải mềm,form này kiểu k như sơ mi thường đâu nhá..vạt trc rất dài..và trễ vai nữa,cánh tay cx kiểu rộng ý...Ổn",NEU,3
"đóng gói sp cẩn thận, hàng ok... nhưng giao hàng quá lâu mặc dù trả phí ship khá cao!!",NEG,2
"Váy hơi dài, tuy nhiên shop tư vấn nhiệt tình",NEU,3
Sản phẩm đẹp m rất ưng ta,POS,5
Hỏi shop thì bảo tại sao bạn mua hàng k vừa mà Shop phải chịu phí vc,NEG,1
Shop lưu ý hơn nhé,NEU,3
Ko có time nên ko chụp hình đc,NEU,3
Sai chuẩn của nó là L mà shop dán đè lên là M,NEU,3
Chất vải hơi nóng,NEG,2
Đặt size 41 thì shop giao 42,NEG,1
Áo màu trắng phải mặc thêm áo lót bên trog thì ok,NEU,3
Y chang hình,POS,5
"Túi chắc chắn, y hình",POS,4
Chất lượng sản phẩm tốt,POS,5
"Sản phẩm rất đẹp, chắc chắn",POS,5
Chưa biết lắp đặt ntn,NEU,3
Vải mềm và mát mng cứ yên tâm mua đi nh,POS,5
"Hàng bị lỗi, liên lạc vs shop đổi hàng nhưng ko đc giải quyết ổn thoả, nhắn tin shop ko thèm trả lời, ko hài lòng",NEG,1
Đóng gói sản phẩm tạm được Đóng gói sản phẩm sơ xài,NEG,2
Chất lượng sản phẩm tuyệt vời !!,POS,5
Chờ mấy ngày trời mua quần về làm rẻ lau,NEG,1
"Thời gian giao hàng nâu , sản phẩm tạm đc nói chung k ưng cho lắm",NEU,3
Vẫn se tiep tuc ung ho shop Chất lượng sản phẩm tuyệt vời Đóng gói sản phẩm rất đẹp và chắc chắn Shop phục vụ rất tốt Rất đáng tiề,POS,5
Áo mỏng from nhỏ,NEG,1
Thời gian giao chậm,NEU,3
"Hàng đẹp, phù hợp với giá tiền",POS,5
Không thể chấp nhận được,NEG,1
Đóng gói sản phẩm rất đẹp và chắc chắn,NEU,3
áo không bị lỗi. vải thun ổn phù hợp với giá tiền. nói chung đáng mua,NEU,3
Nhìn chung tạm ổn,NEU,3
"Chưa xài thử ;))) Nếu k tốt quay lại sửa oánh giá, không sửa coi như chấp nhận ;)))",NEU,3
"Áo rách, dính mực, nt thì shop k tl",NEG,1
Tạm ổn so với giá 😊😊😊,NEG,2
- thích nhất sợi dây,POS,5
Tôi rất hài lòng về sản phẩm,POS,5
Không có mùi mấy,NEU,3
Phù hợp với giá tiền,POS,4
"Áo in bị lem màu, sản phẩm tạm được",NEG,2
Váy rất xinh chất vải mát lịm lun,POS,5
Đơn nào cũng nhanh chóng,POS,4
Chất vải dày dặn rất đáng tiền,POS,5
"Shop phục vụ rất tốt, nhưng có vẻ quần chật so với mình",NEU,3
"Ta nói đẹp Ko chịu đc là có thật, cảm ơn shop rất nhiều, sẽ ủng hộ tiếp",POS,5
"Vải êm, 50kg mặc sz S vẫn hơi rộng nhưng váy đẹp",POS,4
Giao hàng lâu quá,NEG,2
Hỗ trợ nhiệt tình sau bán hàng,POS,4
Ch sử dụng😂😂,NEU,3
"Đồ đẹp, đóng gói cẩn thận, chắc chắn",POS,4
Áo gì thun mỏng còn hơn giấy,NEG,1
Hàg ok lắm,NEU,3
Nhận được áo rồi ạ,POS,5
"Chất lượng sản phẩm kém Không đáng tiền, áo vải xau ,ma shop ghi ,là vải voan ,áo ko giống trong hinh",NEG,1
Áo rất rất rất đẹp,POS,4
K đẹp,NEG,2
form giày cứng cáp...đóng gói ổn,NEU,3
Đúng là tiền nào của đấy,NEU,3
Mua ở đây 1c mà dùng thành cùi nhất nhà. ko nên mua,NEG,1
"Phun mạnh, hương tinh dầu sả bay khắp phòng thích quá thích lun. đèn led đổi màu rất đẹp. mình hài lòng lắm",POS,4
Thời gian giao hàng nhanh,NEU,3
Do gói hàng túi hơn méo mất form.vân cho 5*,POS,4
Nếu mua mặc ngủ ở phòng riêng thì ok,NEU,3
Chất lượng sản phẩm tuyệt vời Đóng gói sản phẩm rất đẹp và chắc chắn Đóng gói sản phẩm rất đẹp và chắc chắn Shop phục vụ rất tốt Rất đáng tiền Rất đáng tiền Rất đáng tiền Thời gian giao hàng rất nhanh,POS,5
Vãi đẹp nhưng áo nam size cho người 66kg mặc chật shop không cho đổi trả buôn bán k uy tín,NEG,2
Chất lượng sản phẩm tuyệt vời Shop phục vụ rất tốt Rất đáng tiền,POS,5
Dởm,NEG,1
"Giao hàng hơi lâu, áo hơi chật",NEG,2
"Mình mua màu đen mà giao màu da , hơi buồn tí",NEG,2
Màu sắc giống mẫu có điều túi khá nhỏ không gian chứa ít,NEG,2
Bán quần rách mà cũng bán đc đành,NEG,1
Mặc bị tụt k ôm bụng,NEG,1
"Giá rẻ, sản phẩm Ok",POS,4
"Chất lượng sản phẩm tuyệt vời, sẽ tiếp tục ủng hộ shop trong tương lai. ;-)",POS,5
Đẹp lắm ạ 👍🏻 nhưng hơi rộng xí,POS,4
Hàng chuẩn.nè,POS,5
Mới dùng lần đầu tiên,NEU,3
Thủ tục đổi trả phức tạp,NEG,1
"Cũng đc , nhưng hơi ngắn",NEU,3
Thất vọng!,NEG,1
Giao hàng chậm,NEG,2
Giá rẻ,NEU,3
"Chất lượng sản phẩm tuyệt vời Đóng gói sản phẩm rất đẹp và chắc chắn Đóng gói sản phẩm rất đẹp và chắc chắn Shop phục vụ rất tốt Rất đáng tiền Thời gian giao hàng rất nhanh. 🌹🌹🌹 Shop chăm sóc khách hàng rất tốt , tư vấn nhiệt tình",POS,5
"Nhưng màu sản phẩm k đúng như hình quảng cáo, side xl rộng như xxl vậy",NEU,3
"Áo chất vải dày dặn, màu đỏ đô rất đẹp",POS,5
chưa có sản phẩm,NEU,3
Chất lượng sản phẩm tuyệt vời Đóng gói sản phẩm rất đẹp và chắc chắn noi chung là đep cảm ơn sop ui nha,POS,5
Động tí là bong ra rất chán,NEG,1
Sẽ ủng hộ shop nhiều :)),POS,5
Đóng gói sản phẩm rất đẹp và chắc chắn,POS,5
"Địu rất đẹp và nhẹ, bé ngồi rất hợp tác ạ",POS,5
Đằng này bán xong phủi tay luôn à,NEG,1
Sp phom bộ đồ to,NEU,3
Chủ shop vục vụ rất nhiệt tình chu đáo,POS,5
"Thích hợp các bạn nhỏ làm nháp, vẽ hình thư giãn",NEU,3
Chất lượng sản phẩm kém Đóng gói sản phẩm kém,NEG,1
Hixx,NEG,2
Đẹp lắm shop...rất ưng ý😘😘😘,POS,5
bọn lừa đảo còn thiếu mẹ mày tiền mẹ m ib ko tl thôi bà mày biếu dmm làm ăn thất đức kieru này đéo tồn tại dk mãi đâu,NEG,1
"Bung chỉ, vải tạm",NEG,2
Chất lượng sản phẩm rất kém Chất lượng sản phẩm rất kém Chất lượng sản phẩm rất kém Chất lượng sản phẩm rất kém Chất lượng sản phẩm rất kém Chất lượng sản phẩm rất kém Chất lượng sản phẩm rất kém Chất lượng sản phẩm rất kém,NEG,1
Mình 45kg mà mặc hơi kích,NEU,3
Thời gian giao hàng nhanh,POS,5
"Quần xinh, vải hơi mỏng xíu, lên dáng xinh",POS,5
Chất vải đẹp,POS,5
Áo form rộng nên mọi ng đặt thì giảm xuống 1 sz,NEU,3
May nhỏ xay k duoc,NEG,1
chất lượng sản phẩm tạm được shop giao hàng quá chậm,NEG,2
Vải rất mềm,POS,5
Chẳng lẽ mình trả lại hàng,NEG,1
Đặt kiểu 3 trắng vàng đen mà giao hồng vàng trắng,NEG,1
Do chân mình to ngang nên phải đổi size to và được shop hỗ trợ kịp thời,POS,5
Shop nên xem lại cách đóng gói,NEG,1
Chất lượng sản phẩm không như hình đăng bán.Không hài lòng Chất lượng sản phẩm tuyệt vời Đóng gói sản phẩm rất đẹp và chắc chắn,NEU,3
Chị Mây nhiệt tình lắm nên Châu gửi hình review cho các bạn coi hàng chị Mây bán luôn nè,POS,5
Áo hơn ngắn,NEG,2
Áo khoác bị lỗi do may dính chùm không mặc được,NEG,2
Tiền nào của đấy,NEG,2
Tóc quá ít sử dụng lộ hết tóc thật,NEU,3
nghe review miêu tả ghê gớm lắm mà,NEU,3
Cứ nghĩ M là vừa mà phom nhỏ quá lại ko ních dk,NEU,3
Chán,NEG,1
Áo đẹp vải hơi mỏng nhưng với giá tiền thì ok,NEU,3
Sẽ ủng hộ shop tiếp tục,POS,4
Mặc dễ xù,NEG,2
"Chất lượng sản phẩm tuyệt vời, tuy chờ đợi hơi lâu",NEU,3
Ngắn quá,NEU,3
Màu lợt hơn hình,NEG,2
Kb giặt có phai màu k nhưng thui giá rẻ vẫn vote shop,NEU,3
"Chất lượng sản phẩm rất kém, tôi đã làm theo hướng dẫn trả hàng và bên shop nói với tôi như thế sẽ gây khó khăn khi giao nhận của shop nên bấm hủy trả hàng và gởi hàng lại địa chỉ nơi gởi kèm thu hộ COD cho nhanh. kết quả là bên shop không nhận lại hàng và bên shopee không thể quyết vì quá thời gian",POS,5
"Chất lượng ok, chủ shop thân thiện",POS,4
Mua lần thứ hai..phải nói là Chất lượng sản phẩm tuyệt vời Đóng gói sản phẩm rất đẹp và chắc chắn Shop phục vụ rất tốt Rất đáng tiền Thời gian giao hàng rất nhanh Rất đáng tiền Rất đáng tiền Rất đáng tiền Rất đáng tiền Rất đáng tiền Rất đáng tiền Rất đáng tiền Đóng gói sản phẩm rất đẹp và chắc chắn,POS,5
"Áo đẹp nhoé, đáng tiền",POS,5
Áo bò hơi rộng mà ks,POS,4
(MÌNH CÓ ẢNH MÔ TẢ),NEU,3
"Đáng tiền,Thời gian giao hàng rất nhanh, đi khá ôm chân, phần thân giày vài hơi mỏng",POS,5
"Nó bị phai màu xanh xanh j ra ấy, bị bẩn nữa",NEG,2
Chất thì ok nhưng đặt sz 2 thì có 1 chiếc sz 1,POS,4
Vải ngoài tốt nhưng lớp lót ko đc tốt lắm,NEG,2
Sice s nhưng to quá,NEU,3
Tin tưởng shop .sẽ tiếp tục ủm hộ,POS,5
Thất vọng áo k giống hình màu đô nhìn giống màu nâu tệ,NEG,1
Rất không đáng tiền,NEG,1
"Giao hàng nhanh, đóng gói cẩn thận, phục vụ nhiệt tình",POS,5
Tốt hơn Merries,POS,5
Mình 61kg mà mặc XXL mèo vẫn vừa luôn,NEU,3
"Vải đẹp, giao hàng nhanh, mua 2 quần mà 1 quần quá bó, hơi buồn tí nhưng sop phục vụ tốt. 4 sao nha sop, mình rút kn sẽ liên hệ sop tư vấn trước khi đặt hàng",POS,5
Thoáng mát,POS,4
Đúng là sai sự thật,NEG,1
Shop ổn nhưng chưa hoàn hảo,NEU,3
"Lúc đầu m nghĩ k hết, ai dè chỉ chấm có xíu rồi lau đi, để cho nó tự tạo mài rồi tự lột, cái vết gai chân như tua bạch tuột, đi bắn 1 lần mà k hết, giờ bôi có 2 lần là tróc luôn rồi, không đau mà hiệu quả quá chừng",POS,4
Mỗi tội mùi hơi khó chịu,NEG,2
"Thời gian giao hàng rất nhanh, Rất đáng tiền Chất lượng sản phẩm tuyệt vời",POS,5
Shop phục vụ rất tốt Thời gian giao hàng rất nhanh,POS,5
Shop phục vụ tôt,POS,4
Hàng sấu,NEG,1
Còn tính năng khác cần thời gian thể nghiệm,POS,4
Áo không to như mình tưởng,NEU,3
