Unnamed: 0.18,linkPoster,name,role,time,content,content_img,react_list,comment,Unnamed: 0.17,Unnamed: 0.16,Unnamed: 0.15,Unnamed: 0.14,Unnamed: 0.13,Unnamed: 0.12,Unnamed: 0.11,Unnamed: 0.10,Unnamed: 0.9,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,prediction
0,No link,Người tham gia ẩn danh,Thành viên,13 tháng 12 lúc 18:22,Anh/ chị cho em hỏi mình xin bảng điểm có chữ kí và đóng dấu của nhà trường ở đâu ạ…,No picture,"{'Thích': 0, 'Yêu thích': 0, 'Thương thương': 0, 'Haha': 0, 'Wow': 0, 'Buồn': 0, 'Phẫn nộ': 0}","[{'name': 'Người tham gia ẩn danh 391', 'content': 'Lên qlht á e'}, {'name': 'Người tham gia ẩn danh', 'content': 'Tác giả Người tham gia ẩn danh 391 Dạ em thấy trên qlht kh có chữ kí của trường hay con dấu chi ạ'}]",,,,,,,,,,,,,,,,,,,negative
1,No link,Người tham gia ẩn danh,Thành viên,13 tháng 12 lúc 19:26,"Dạ em là sinh viên năm nhất, anh/chị cho em hỏi là điểm rèn luyện và điểm rèn luyện tích lũy là ntn vậy ạ? Làm sao để có điểm đó ạ?",No picture,"{'Thích': '1', 'Yêu thích': 0, 'Thương thương': 0, 'Haha': 0, 'Wow': 0, 'Buồn': 0, 'Phẫn nộ': 0}",No comment,0.0,,,,,,,,,,,,,,,,,,negative
2,No link,Người tham gia ẩn danh,Thành viên,13 tháng 12 lúc 19:55,"em cần mua phụ kiện ni có ac nào biết tiệm bánn chỉ em vớii ạa, em cần cũng sát ngày ạ ","{0: 'https://scontent.fhan14-3.fna.fbcdn.net/v/t39.30808-6/470203444_556546923943277_8610645831654677198_n.jpg?stp=cp6_dst-jpg_s600x600_tt6&_nc_cat=111&ccb=1-7&_nc_sid=aa7b47&_nc_ohc=ZjOVrmSUc-YQ7kNvgHhCEuP&_nc_zt=23&_nc_ht=scontent.fhan14-3.fna&_nc_gid=AoM5kxTByFn0cMP0W84wakh&oh=00_AYBRDkBm9x3KbqOPL_GTHmcQyDQ-OFdsT5qnCfCugZvT-Q&oe=67642C33', 1: 'https://scontent.fhan14-2.fna.fbcdn.net/v/t39.30808-6/470205520_556546940609942_7857718823862123395_n.jpg?stp=cp6_dst-jpg_s600x600_tt6&_nc_cat=108&ccb=1-7&_nc_sid=aa7b47&_nc_ohc=1CG8zsHEIVsQ7kNvgH2y3ir&_nc_zt=23&_nc_ht=scontent.fhan14-2.fna&_nc_gid=AoM5kxTByFn0cMP0W84wakh&oh=00_AYAQQT4QY6ECQ3ZGhxUYqjxDApu1oylq8t3L_qmolFbiLQ&oe=67642553'}","{'Thích': 0, 'Yêu thích': 0, 'Thương thương': 0, 'Haha': 0, 'Wow': 0, 'Buồn': 0, 'Phẫn nộ': 0}",No comment,1.0,0.0,,,,,,,,,,,,,,,,,negative
3,No link,Người tham gia ẩn danh,Thành viên,13 tháng 12 lúc 21:34,Giải giúp mk câu a vs ạ:((,{0: 'https://scontent.fhan14-4.fna.fbcdn.net/v/t39.30808-6/470197605_1098444168478524_609188847588715188_n.jpg?stp=cp6_dst-jpg_p526x296_tt6&_nc_cat=107&ccb=1-7&_nc_sid=aa7b47&_nc_ohc=G5uVE0UJpsEQ7kNvgF5otrv&_nc_zt=23&_nc_ht=scontent.fhan14-4.fna&_nc_gid=AoM5kxTByFn0cMP0W84wakh&oh=00_AYCGLs71DdJe_mso7YinovgD3pvy6qvdWT8XBTepP0wdnQ&oe=67642050'},"{'Thích': '2', 'Yêu thích': 0, 'Thương thương': 0, 'Haha': 0, 'Wow': 0, 'Buồn': 0, 'Phẫn nộ': 0}",No comment,2.0,1.0,0.0,,,,,,,,,,,,,,,,negative
4,No link,Người tham gia ẩn danh,Thành viên,Hôm qua lúc 11:00,"Mng ai có giấy thi trắc nghiệm không, Pass lại cho mình với được không ạ",No picture,"{'Thích': '3', 'Yêu thích': 0, 'Thương thương': 0, 'Haha': 0, 'Wow': 0, 'Buồn': 0, 'Phẫn nộ': 0}","[{'name': 'Người tham gia ẩn danh 269', 'content': 'Toai có nè'}, {'name': 'Người tham gia ẩn danh', 'content': 'Tác giả Người tham gia ẩn danh 269 b cho t số zalo với dc hem'}, {'name': 'Mai Phương Chi', 'content': 'Ké ạ'}, {'name': 'Người tham gia ẩn danh', 'content': 'Tác giả ..'}, {'name': 'Người tham gia ẩn danh', 'content': 'Tác giả …'}, {'name': 'Người tham gia ẩn danh', 'content': 'Tác giả …'}, {'name': 'Người tham gia ẩn danh', 'content': 'Tác giả …'}, {'name': 'Người tham gia ẩn danh', 'content': 'Tác giả …'}]",3.0,2.0,1.0,0.0,,,,,,,,,,,,,,,negative
5,No link,Người tham gia ẩn danh,Thành viên,22 giờ,Mọi người cho em hỏi 1 buổi khám da liễu và lấy thuốc trị mụn thì giao động từ bn tiền ạ.,No picture,"{'Thích': 0, 'Yêu thích': 0, 'Thương thương': 0, 'Haha': 0, 'Wow': 0, 'Buồn': 0, 'Phẫn nộ': 0}","[{'name': 'Người tham gia ẩn danh 553', 'content': 'tuỳ phòng khám, tuỳ tình trạng da của b hiện tại nữa chứ mình đi da liễu ở HN tiền khám đã 200k rùi chưa tính tiền thuốc bôi với uống'}, {'name': 'Người tham gia ẩn danh', 'content': 'Tác giả Người tham gia ẩn danh 553 Bạn dùng thuốc gia liễu tầm mấy tuần là thấy cải thiện vậy'}, {'name': 'Người tham gia ẩn danh 553', 'content': 'Người tham gia ẩn danh mình kết hợp uống với bôi gần 3 tháng mới cải thiện rõ, 1 tháng đầu làm quen với thuốc tới tháng thứ 2 mới bắt đầy có cải thiện á'}, {'name': 'Người tham gia ẩn danh 652', 'content': 'Mk kh mất tiền khám Chỉ mất tiền thuốc bôi là 365k'}, {'name': 'Người tham gia ẩn danh', 'content': 'Tác giả Người tham gia ẩn danh 652 bạn khám ở đâu vậy ạ .Nếu giờ đến tết mình bôi thuốc gia liễu có đỡ không ạ , chứ sợ bị đẩy mụn đến tết kh hết chắc xỉu'}, {'name': 'Người tham gia ẩn danh 652', 'content': 'Người tham gia ẩn danh Bệnh viện Da Liễu Thành Phố Đà Nẵng á bạn'}, {'name': 'Người tham gia ẩn danh 652', 'content': 'Người tham gia ẩn danh nếu da mặt bạn bị nặng như sẹo thâm, sẹo rỗ, mụn đầu đen, mụn ẩn,.. tổng hợp các loại trên mặt thì chi phí sẽ cao hơn á'}, {'name': 'Người tham gia ẩn danh', 'content': 'Tác giả Người tham gia ẩn danh 652 Da mình cũng không nặng lắm chủ yếu nó cứ tái đi tái lại .Bạn dùng thuốc thấy hiệu quả không ạ'}]",4.0,3.0,2.0,1.0,0.0,,,,,,,,,,,,,,negative
6,No link,Người tham gia ẩn danh,Thành viên,21 giờ,Lỡ mà quên đi thi cki thì có bị học lại khum ạ,No picture,"{'Thích': '16', 'Yêu thích': 0, 'Thương thương': 0, 'Haha': '8', 'Wow': 0, 'Buồn': '3', 'Phẫn nộ': 0}","[{'name': 'Võ Thị Nhật Lệ', 'content': 'Nguyễn Lữ Kiệt giờ nên khuyên thật hay giả nhuỷ'}, {'name': 'Người tham gia ẩn danh', 'content': 'Tác giả Võ Thị Nhật Lệ thật i ạ để e cbi tinh thần trc'}, {'name': 'Võ Thị Nhật Lệ', 'content': 'Người tham gia ẩn danh ib thầm kín'}, {'name': 'Nguyễn Lữ Kiệt', 'content': 'Võ Thị Nhật Lệ thật đi giả tội em noe'}, {'name': 'Mai Anh', 'content': 'Lan Anh m hỏi à'}, {'name': 'Lan Anh', 'content': 'Mai Anh ai gảnh má'}, {'name': 'Bích Phương', 'content': 'Tố Uyên ngủ quên thoi mà'}, {'name': 'Tố Uyên', 'content': 'Bích Phương bạn hỏi năm ngoái mà giờ mới duyệt bài đúng không'}, {'name': 'Người tham gia ẩn danh 386', 'content': 'Có'}, {'name': 'Người tham gia ẩn danh 147', 'content': 'Nếu điểm thường xuyên chuyên cần với gk cao thì chắc k sô đâu ha'}, {'name': 'Người tham gia ẩn danh', 'content': 'Tác giả Người tham gia ẩn danh 147 thậc ko ạ'}, {'name': 'Duong Cam Na', 'content': 'Bà nói thiệt hả bà Thơ'}, {'name': 'Đinh Thị Giao', 'content': 'tối qua ngủ mới mơ quên ii thi sợ quá'}, {'name': 'Ngô Nguyễn Uyên Phương', 'content': 'Duy Phương bạn này bic rõ nè'}, {'name': 'Duy Phương', 'content': 'Ngô Nguyễn Uyên Phương không nha uy tín'}, {'name': 'Khánh Chi Nguyễn', 'content': 'Ng Nguyn hỏi'}, {'name': 'Ng Nguyn', 'content': 'Khánh Chi Nguyễn tưởng th dũng hỏi chớ'}, {'name': 'Dũng Dương', 'content': 'Ng Nguyn sao có t nữa'}]",5.0,4.0,3.0,2.0,1.0,0.0,,,,,,,,,,,,,negative
7,No link,Người tham gia ẩn danh,Thành viên,19 giờ,Xin in4 bạn nữ cho mình mượn dù ngồi nơi ghế phía ngoài sân cầu lông.Xin cảm ơn,No picture,"{'Thích': 0, 'Yêu thích': 0, 'Thương thương': 0, 'Haha': 0, 'Wow': 0, 'Buồn': 0, 'Phẫn nộ': 0}",No comment,6.0,5.0,4.0,3.0,2.0,1.0,0.0,,,,,,,,,,,,negative
8,No link,Người tham gia ẩn danh,Thành viên,19 giờ,"Cần tìm người đi học giùm. Chiều ngày 3/1 và sáng 4/1, phí 100k/2 buổi. Ai đi được cmt bên dưới giúp mình với ạ ",No picture,"{'Thích': '3', 'Yêu thích': 0, 'Thương thương': 0, 'Haha': 0, 'Wow': 0, 'Buồn': 0, 'Phẫn nộ': 0}","[{'name': 'Hồng Ân', 'content': 'Ib'}, {'name': 'Nguyễn Xuân Tiến', 'content': '....'}, {'name': 'Đặng Nhật Thanh', 'content': 'Nguyễn Xuân Tiến lẹ zị'}, {'name': 'Đồng Trà', 'content': '.'}, {'name': 'Nguyễn Quang Linh', 'content': '.'}, {'name': 'Thanh Ngân', 'content': '.'}, {'name': 'Liên Đàn', 'content': '.'}, {'name': 'Người tham gia ẩn danh', 'content': 'Tác giả Liên Đàn rep tn giúp mình vớii'}, {'name': 'Mai Phương', 'content': 'em cụng cần tìm'}, {'name': 'Thanh Ngân', 'content': 'Mai Phương ib ạ'}]",7.0,6.0,5.0,4.0,3.0,2.0,1.0,0.0,,,,,,,,,,,negative
9,No link,Người tham gia ẩn danh,Thành viên,18 giờ,"A/c ngành cntt ơi, cho e hỏi là giờ cbi thi TACN thì ôn cái gì ạaaa",No picture,"{'Thích': 0, 'Yêu thích': 0, 'Thương thương': 0, 'Haha': 0, 'Wow': 0, 'Buồn': '1', 'Phẫn nộ': 0}",No comment,8.0,7.0,6.0,5.0,4.0,3.0,2.0,1.0,0.0,,,,,,,,,,negative
