,linkPoster,name,role,time,content,content_img,react_list,comment,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0
0,No link,Người tham gia ẩn danh,Thành viên,11 phút,Mn cho em hỏi nếu mình bị F học lại thì sau khi học lại điểm F có đổi thành điểm mà mình học lại ko ạ hay vẫn giữ nguyên F nớ v ạ,No picture,"{'Thích': 0, 'Yêu thích': 0, 'Thương thương': 0, 'Haha': 0, 'Wow': 0, 'Buồn': 0, 'Phẫn nộ': 0}",No comment,,,,,
1,No link,Người tham gia ẩn danh,Thành viên,1 giờ,"em cần tìm bạn Lê Quang Thắng học khoá 44 sv năm nhất khoa công nghệ thông tin ạ, ai có thông tin gì cho em xin với ạ",No picture,"{'Thích': 0, 'Yêu thích': 0, 'Thương thương': 0, 'Haha': 0, 'Wow': 0, 'Buồn': 0, 'Phẫn nộ': 0}",No comment,,,,,
2,No link,Người tham gia ẩn danh,Thành viên,2 giờ,"Mọi người cho em hỏi ra trường có mấy xếp loại bằng v ạ
. Em chỉ biết bằng giỏi với khá thôi còn baon điểm để được bằng giỏi với khá thì em k biết mn tv giúp em với ạ",No picture,"{'Thích': '4', 'Yêu thích': 0, 'Thương thương': 0, 'Haha': 0, 'Wow': 0, 'Buồn': 0, 'Phẫn nộ': 0}","[{'name': 'Người tham gia ẩn danh 341', 'content': 'Xs: điểm GPA 3.6 trở lên Giỏi: điểm GPA 3.2-3.6 Khá GPA 2.5 -3.2 TB: trở xuống của 2.5'}, {'name': 'Người tham gia ẩn danh 293', 'content': 'Có 3 loại nha suất sắc , giỏi với khá em vào trang qlht bấm vào chỗ kiểm tra kq học tập bấm in là biết mình đang ở bằng gì nha'}, {'name': 'Người tham gia ẩn danh', 'content': 'Tác giả'}, {'name': 'Người tham gia ẩn danh', 'content': 'Tác giả @nêu bật'}, {'name': 'Người tham gia ẩn danh', 'content': 'Tác giả'}, {'name': 'Người tham gia ẩn danh', 'content': 'Tác giả GIPHY'}, {'name': 'Người tham gia ẩn danh', 'content': 'Tác giả ….'}]",,,,,
3,No link,Người tham gia ẩn danh,Thành viên,4 giờ,"Góc tìm đồ
Hồi lúc sáng 11/12/2024 mình có đi từ Hà Tĩnh vào Đà Nẵng bằng xe khách khi đi đến nơi mình xuống xe ở KTX sư phạm mình có cầm theo 1 túi đồ với 1 thùng hàng mình để đó và chạy về trọ lấy xe vì nghĩ trọ gần lúc mình đi xe ra chỉ còn túi đồ còn thùng hàng ko thấy đâu
Lúc đó có 1 bạn nữ cũng đứng chỗ đấy nếu bạn nhầm hay thấy ai lấy nhầm của mình thì cho mình xin lại 
Mình xin chân thành cảm ơn
Mình bỏ đồ ngay chỗ dưới ảnh",{0: 'https://scontent.fhan14-3.fna.fbcdn.net/v/t39.30808-6/469889307_1103832474779424_6674255401953495297_n.jpg?stp=dst-jpg_p526x296_tt6&_nc_cat=111&ccb=1-7&_nc_sid=aa7b47&_nc_ohc=tIUm9wDl6MQQ7kNvgFzH18O&_nc_zt=23&_nc_ht=scontent.fhan14-3.fna&_nc_gid=AL3asrFQaSpde8pNEelXkVv&oh=00_AYC9EA1g9x93wEGOovY6xT4M9NkieRh5tencBsobvA_jBQ&oe=675F03AD'},"{'Thích': '13', 'Yêu thích': 0, 'Thương thương': 0, 'Haha': 0, 'Wow': 0, 'Buồn': '17', 'Phẫn nộ': 0}","[{'name': 'Người tham gia ẩn danh', 'content': 'Liên hệ mình qua số zl 0329655717'}, {'name': 'Người tham gia ẩn danh', 'content': '@nêu bật'}]",,,,,
4,No link,Người tham gia ẩn danh,Thành viên,4 giờ,"Nam lương 30tr/tháng độc thân cần tìm 1 bạn n iu dễ thương,được thi xin cưới lun nhé",No picture,"{'Thích': 0, 'Yêu thích': 0, 'Thương thương': 0, 'Haha': '1', 'Wow': 0, 'Buồn': 0, 'Phẫn nộ': 0}",No comment,,,,,
5,No link,Người tham gia ẩn danh,Thành viên,11 giờ,Mọi người có file bìa tiểu luận không ạ . Cho em xin với ạ . Lần đầu làm còn nhiều bỡ ngỡ,No picture,"{'Thích': 0, 'Yêu thích': 0, 'Thương thương': 0, 'Haha': 0, 'Wow': 0, 'Buồn': 0, 'Phẫn nộ': 0}",No comment,,,,,
6,No link,Người tham gia ẩn danh,Thành viên,14 giờ,Cho em hỏi bằng b1 có giá trị mấy năm ạ,No picture,"{'Thích': '5', 'Yêu thích': 0, 'Thương thương': 0, 'Haha': 0, 'Wow': 0, 'Buồn': 0, 'Phẫn nộ': 0}","[{'name': 'Tịnh Tâm', 'content': '2 năm á, bn nào cần hỗ trợ av đầu ra thì ới mình, đảm bảo kq'}, {'name': 'Nguyễn Tấn Tài', 'content': 'Ủa tưởng B1 vĩnh viễn'}, {'name': 'Người tham gia ẩn danh', 'content': 'Tác giả'}, {'name': 'Người tham gia ẩn danh', 'content': 'Tác giả'}, {'name': 'Người tham gia ẩn danh', 'content': 'Tác giả ..'}]",,,,,
7,No link,Người tham gia ẩn danh,Thành viên,16 giờ,"Ac cho em hỏi là bài tiểu luận có được chèn hình ảnh minh họa vào k ạ ,tại em mới làm lần đầu nên k bt ạ",No picture,"{'Thích': 0, 'Yêu thích': 0, 'Thương thương': 0, 'Haha': 0, 'Wow': 0, 'Buồn': 0, 'Phẫn nộ': 0}","[{'name': 'Thị Yến', 'content': 'Không'}]",,,,,
8,No link,Người tham gia ẩn danh,Thành viên,17 giờ,"Ai cũng đồn sư phạm toán nhiều trai đẹp, rồi làm sao để được gặp mấy bạn sư phạm toán vậy???",No picture,"{'Thích': '6', 'Yêu thích': 0, 'Thương thương': 0, 'Haha': '16', 'Wow': 0, 'Buồn': 0, 'Phẫn nộ': 0}",No comment,,,,,
9,No link,Người tham gia ẩn danh,Thành viên,17 giờ,"Trong 1 lần thất tình, mình rủ đám bạn đi uống rượu ở quán karaoke thì bọn mình có book 1 vài e đào,  mình thì chọn trúng 1 e tóc hồng, ôi nhìn bạn ấy vs 1 bộ váy ngắn ngồi cạnh mình, skin ship đủ kiểu, kỹ năng bạn ấy tốt ghê luôn á, cái gì mình nói bạn ấy cũng chiều mình được khiến đêm đó về mình mê cả đêm
, hông hiểu sao giờ  mình nhớ bạn ấy quá dù biết là gái bia ôm 
 . Anh em có kinh nghiệm tán mấy bạn kiểu như này hông cho mình xin cách với vì trước giờ mình chưa gặp bạn nữ nào như này cả","{0: 'https://scontent.fhan14-3.fna.fbcdn.net/v/t39.30808-6/469649731_1138648564351117_3097029915075131704_n.jpg?stp=dst-jpg_p526x296_tt6&_nc_cat=110&ccb=1-7&_nc_sid=aa7b47&_nc_ohc=ihRsQ9sewY0Q7kNvgHi5MPk&_nc_zt=23&_nc_ht=scontent.fhan14-3.fna&_nc_gid=Ah6x4ZQ9rj4OHrdUnal1lXr&oh=00_AYDBsfgH4P3UyfSd_qD6iWK5PpVxfNdvzI3PxfQ_3rl_Ew&oe=675ED895', 1: 'https://static.xx.fbcdn.net/images/emoji.php/v9/tf2/1/16/1f615.png', 2: 'https://static.xx.fbcdn.net/images/emoji.php/v9/t71/1/16/1f614.png'}","{'Thích': '6', 'Yêu thích': 0, 'Thương thương': 0, 'Haha': '5', 'Wow': 0, 'Buồn': 0, 'Phẫn nộ': 0}","[{'name': 'Người tham gia ẩn danh 452', 'content': 'cfs trường để up cnay à =))))'}, {'name': 'Người tham gia ẩn danh 547', 'content': 'mất giá vậy bro'}, {'name': 'Người tham gia ẩn danh', 'content': 'Tác giả Người tham gia ẩn danh 547 bị nghiện á bro lần đầu tui đi mà'}, {'name': 'Người tham gia ẩn danh 547', 'content': 'Người tham gia ẩn danh ông miêu tả quả tóc hồng làm tui nghĩ đến nhỏ nyc vl=))))'}, {'name': 'Nguyễn Thị Thuý Vân', 'content': 'Mai Thị Mai Anh chắc nhuộm tóc hồng thoai'}, {'name': 'Mai Thị Mai Anh', 'content': 'Nguyễn Thị Thuý Vân tự nhiên hết thích tóc hồng ngang zị đó , đổi màu cho tết ấm no hoi'}, {'name': 'Nguyễn Thị Thuý Vân', 'content': 'Mai Thị Mai Anh Đỏ rực thoai'}, {'name': 'Mai Thị Mai Anh', 'content': 'Nguyễn Thị Thuý Vân chắc dám à, kế hoạch nhuộm như thể đc nhuộm zị đó'}, {'name': 'G. Thịn', 'content': '=))) vui thôi nhưng bố dặn con này ...'}, {'name': 'Đặng Nhật Thanh', 'content': 'Đã là vịn thì chỉ cần nhiều tiền thì nó theo thôi'}, {'name': 'Thu Phương', 'content': 'T lạy'}, {'name': 'Nguyễn Phúc', 'content': 'Sv mà say nắng vịn thì dở rồi'}, {'name': 'Người tham gia ẩn danh', 'content': 'Tác giả Nguyễn Phúc say nắng mấy e tri thức 1 thời, mà giờ họ ngoan vs nhiều a rồi , còn ngoan như xưa đâu'}, {'name': 'Ngọc Thảo', 'content': 'Nguyen Chinh Phuong Anh :))))'}]",,,,,
